
2024/01/31 (05:47:45) | ===> btop++ v.1.3.0
2024/01/31 (05:47:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (05:47:57) | ===> btop++ v.1.3.0
2024/01/31 (05:47:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (05:47:57) | ===> btop++ v.1.3.0
2024/01/31 (05:47:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (23:38:29) | ===> btop++ v.1.3.0
2024/01/31 (23:38:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (23:44:28) | ===> btop++ v.1.3.0
2024/01/31 (23:44:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (00:15:41) | ===> btop++ v.1.3.0
2024/02/01 (00:15:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (00:15:52) | ===> btop++ v.1.3.0
2024/02/01 (00:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (00:31:32) | ===> btop++ v.1.3.0
2024/02/01 (00:31:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (02:38:59) | ===> btop++ v.1.3.0
2024/02/01 (02:38:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (01:39:49) | ===> btop++ v.1.3.0
2024/02/02 (01:39:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (14:07:27) | ===> btop++ v.1.3.0
2024/02/07 (14:07:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (18:28:02) | ===> btop++ v.1.3.0
2024/02/26 (18:28:02) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (18:28:02) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/02/26 (18:28:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/02/26 (18:28:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
